"--Please Select--","--Vælg venligst--"
"API Login ID","API Login ID"
"Accepted Currency","Tilladt valuta"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","CVC-kode"
"Card Verification Number Visual Reference","Visuel reference for CVC-kode"
"Close","Luk"
"Credit Card Information","Kreditkortinformation"
"Credit Card Number","Kreditkortnummer"
"Credit Card Type","Kreditkorttype"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","CVC"
"Debug","Debug"
"Email Customer","Kunde e-mail"
"Enabled","Aktiv"
"Expiration Date","Udløbsdato"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maksimum ordretotal"
"Merchant MD5","Forhandler MD5"
"Merchant's Email","Forhandlers e-mail"
"Minimum Order Total","Minimum ordretotal"
"New Order Status","Status for nye ordrer"
"Order saving error: %s","Ordrelagringsfejl: %s"
"Payment Action","Betalingshandling"
"Payment authorization error.","Fejl ved autorisation af betalingen."
"Payment authorization error. Transacion id is empty.","Fejl ved autorisation af betalingen. Transaktions-ID mangler."
"Payment error. Order was not found.","Betalingsfejl. Ordren kunne ikke findes."
"Payment error. Paid amount doesn\'t match the order amount.","Betalingsfejl. Betalt beløb stemmer ikke overens med ordrebeløbet."
"Payment from Applicable Countries","Lande der kan betales fra"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Please, choose payment method","Vælg betalingsmetode"
"Response hash validation failed. Transaction declined.","Hash-validering af serverens svar fejlede. Transaktionen er afvist."
"Sort Order","Sorteringsrækkefølge"
"Test Mode","Test mode"
"The order has been created.","Ordren er oprettet."
"There was an error processing your order. Please contact us or try again later.","Der skete en fejl ved behandling af din ordre. Kontakt os eller prøv igen senere."
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"What is this?","Hvad er dette?"
"You will be required to enter your payment details before you place an order.","Du vil blive bedt om dine betalingsoplysninger før du afgiver ordren."
