"Collected Files Count","Antal samlede filer"
"Compilation","Kompilering"
"Compilation State","Kompileringstilstand"
"Compilation error","Kompileringsfejl"
"Compilation successfully finished","Kompilering udført"
"Compiled","Kompileret"
"Compiled Scopes Count","Antal kompilerede områder"
"Compiler Status","Kompileringsstatus"
"Compiler include path disabled","Kompileringens include-sti deaktiveret"
"Compiler include path enabled","Kompileringens include-sti aktiveret"
"Directory ""%s"" must be writeable","Mappen ""%s"" skal være skrivbar"
"Disable","Deaktiver"
"Disabled","Deaktiveret"
"Enable","Aktiver"
"Enabled","Deaktiveret"
"File ""%s"" must be writeable","Filen ""%s"" skal være skrivbar"
"Not Compiled","Ikke kompileret"
"Run Compilation Process","Kør kompileringsproces"
"Scopes Compilation Settings","Områdernes kompileringsindstillinger"
"System","System"
"Tools","Værktøjer"
"Compilation (Beta)","Kompilering (Beta)"
"Compiler module is now in Beta (not to be used in production environment)","Kompileringsmodulet er nu i beta (kan ikke bruges i et produktionsmiljø)"
