"Cron (Scheduled Tasks) - all the times are in minutes","Cron (planlagte opgaver) - alle tider er minutter"
"Daily","Hver dag"
"Failure History Lifetime","Levetid for fejlhistorik"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Sørg for at Web > Sikker og Usikker rod-URL's er eksplicit sat, for at der genereres korrekte URL's i cron-kørsler."
"Generate Schedules Every","Generer planlægning hver"
"History Cleanup Every","Rens historik hver"
"Invalid callback: %s::%s does not exist","Ugyldigt callback: %s::%s eksisterer ikke"
"Invalid model/method definition, expecting ""model/class::method"".","Ugyldig definition af model/metode, skal være ""model/class::method""."
"Missed if Not Run Within","For sent hvis ikke kørt inden for"
"Monthly","Hver måned"
"No callbacks found","Ingen callbacks fundet"
"Schedule Ahead for","Planlæg fremad"
"Success History Lifetime","Levetid for succeshistorik"
"Too late for the schedule.","For sent for planen"
"Unable to save the cron expression.","Kan ikke gemme cron-udtrykket."
"Unknown error.","Ukendt fejl"
"Weekly","Hver uge"
