"Active","Aktiv"
"Add Attribute Mapping","Tilføj egenskabsmapping"
"Add New Attribute","Tilføj ny egenskab"
"Add to Google Base","Tilføj til Google Base"
"Are you sure?","Er du sikker?"
"Attribute","Egenskab"
"Attribute Set","Egenskabssæt"
"Attribute Set and Item Type","Egenskabssæt og produkttype"
"Attributes","Egenskaber"
"Attributes Mapping","Egenskabsmapping"
"Attributes Set","Egenskabssæt"
"AuthSub","AuthSub"
"Available Products","Tilgængelige produkter"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Basisvaluta skal indstilles til %s for %s i systemkonfigurationen. Ellers bliver priserne ikke korrekte i Google Base."
"Cannot update Google Base Item for Store '%s'","Kan ikke opdatere Google Base vare for forretningen '%s'"
"Captcha confirmation error: %s","Captcha bekræftelsesfejl: %s"
"Captcha has been confirmed.","Captcha er bekræftet."
"Catalog","Katalog"
"Clicks","Klik"
"ClientLogin","ClientLogin"
"Confirm","Bekræft"
"Current Mapping will be reloaded. Continue?","Den nuværende mapping genindlæses. Fortsæt?"
"Custom attribute, no mapping","Tilpasset egenskab, ingen mapping"
"Delete","Slet"
"Delete Mapping","Slet mapping"
"Edit Item Type","Rediger produkttype"
"Edit Item Type ""%s""","Rediger varetype ""%s"""
"Error: %s","Fejl: %s"
"Expires","Udløber"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base egenskab"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base produkttype"
"Google Base Item type","Google Base produkttype"
"Google Base Items","Google Base produkter"
"Google base","Google base"
"Hide","Skjul"
"Hosted","Hosted"
"Hosted or Google","Hosted eller Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Ugyldig produktmodel for Google Base-produkt"
"Item Type was deleted","Produkttype slettet"
"Item Types","Produkttyper"
"Item model is not specified to delete Google Base entry.","Produktmodel er ikke specificeret til at slette Google Base-indlæg"
"Items","Produkter"
"Manage Attribute Mapping","Administrer egenskabsmapping"
"Manage Attributes","Administrer egenskaber"
"Manage Items","Administrer produkter"
"New Item Type","Ny produkttype"
"New ItemType","Ny produkttype"
"No","Nej"
"No items were deleted from Google Base","Ingen produkter blev slettet fra Google Base"
"No items were published","Ingen produkter blev udgivet"
"No items were saved as inactive items","Ingen produkter blev gemt som inaktive produkter"
"No products were added to Google Base","Ingen produkter blev tilføjet til Google Base"
"Object model is not specified to save Google Base entry.","Objektmodel er ikke specificeret til at gemme Google Base-indlæg"
"Page views","Sidevisninger"
"Please, select Attribute Set and Google Item Type to load attributes","Vælg egenskabssæt og Google produkttype for at indlæse egenskaber"
"Product Name","Produktnavn"
"Publish","Udgiv"
"Published","Udgivet"
"Remove","Fjern"
"Save Mapping","Gem mapping"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Session udløbet under eksporten. Kontroller de eksporterede produkter og gentag processen om nødvendigt."
"Synchronize","Synkroniser"
"Target Country","Målland"
"The item type has been saved.","Enhedstypen er gemt."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denne handling vil opdatere produktstatistik og fjerne de produkter, der ikke er tilgængelige i Google Base. Fortsæt?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","I alt %d varer er slettet; %d varer er opdateret."
"Total of %d items(s) have been published.","I alt %d varer er udgivet."
"Total of %d items(s) have been removed from Google Base.","I alt %d varer er fjernet fra Google Base."
"Total of %d items(s) have been saved as inactive items.","I alt %d varer er gemt som inaktive varer."
"Total of %d product(s) have been added to Google Base.","I alt %d varer er tilføjet til Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kunne ikke forbinde til Google Base. Kontroller kontoindstillingerne."
"Unable to select a Store View.","Kunne ikke vælge en forretningsvisning"
"View Available Products","Vis tilgængelige produkter"
"View Item in Google Base","Vis produkt i Google Base"
"Yes","Ja"
