"# of Uses","# gange brugt"
"%s tag(s) have been accepted for moderation.","%s tags er modtaget til godkendelse."
"<strong>Tag Name:</strong> %s","<strong>Tagnavn:</strong> %s"
"Action","Handling"
"Add","Tilføj"
"Add New Tag","Tilføj nyt tag"
"Add Tags","Tilføj tags"
"Add Your Tags:","Tilføje dine tags:"
"Add tag(s) to product","Tilføj tags til produkter"
"Add to Cart","Læg i kurv"
"Add to Wishlist","Sæt på ønskeseddel"
"All Tags","Alle tags"
"Approved","Godkendt"
"Are you sure you want to delete this tag?","Er du sikker på, at dette tag skal slettes?"
"Are you sure you want to do this?","Er du sikker på, at du ønsker at udføre denne handling?"
"Are you sure?","Er du sikker?"
"Back","Tilbage"
"Back to Tags List","Tilbage til tag-liste"
"Base Popularity","Basepopularitet"
"Block Information","Blok - detaljer"
"CSV","CSV"
"Catalog Product View","Produktvisning"
"Change status","Skift status"
"Click on a tag to view your corresponding products.","Klik på et tag for at se alle produkter markeret med det tag"
"Country","Land"
"Customer My Account My Tags List","Min konto, mine tags"
"Customer My Account Tag View","Min konto, tag-detaljer"
"Customer Since","Oprettet"
"Customers","Kunder"
"Customers Submitted this Tag","Kunder der har brugt dette tag"
"Customers Tagged '%s'","Kunder taggede '%s'"
"Delete","Slet"
"Delete Tag","Slet tag"
"Disabled","Inaktiv"
"Edit Tag '%s'","Rediger tag '%s'"
"Email","E-mail"
"First Name","Fornavn"
"General Information","Indhold"
"Grid","Tabel"
"ID","ID"
"Info","Info"
"Last Name","Efternavn"
"List","Liste"
"Manage Tags","Administrer tags"
"My Recent Tags","Mine seneste tags:"
"My Tags","Mine tags"
"Name","Navn"
"New Tag","Nyt tag"
"No matches found.","Der er ingen produkter med det tag/disse tags"
"Other people marked this product with these tags:","Andre har givet produktet disse tags:"
"Pending","Uafsluttet"
"Pending Tags","Manglende godkendelse"
"Popular","Populære produkter"
"Popular Tags","Populære tags"
"Price","Pris"
"Product Name","Produktnavn"
"Product SKU","Produktets varenummer"
"Product Tag API","Produkt-tags API"
"Product Tags","Tags på produkter"
"Products","Produkter"
"Products Tagged by Administrators","Produkter tagget af administratorer"
"Products Tagged by Customers","Produkter tagget af kunder"
"Products Tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s'","Produkter tagget med '%s'"
"Rebuild Tag aggregation data","Genopbyg tag-data"
"Remove","Fjern"
"Remove product tag","Fjern produkttag"
"Retrieve list of tags by product","Hent lister over tags for produkt"
"Retrieve product tag info","Hent produkttag-info"
"SKU","Varenummer"
"Save Tag","Gem tag"
"Save and Continue Edit","Gem og fortsæt redigering"
"Status","Status"
"Store View","Forretningsvisning"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tagget ""%s"" er allerede tilknyttet produktet"
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product"
"Tag ""%s"" has been rejected by administrator.","Tagget ""%s"" er blevet afvist af administratoren."
"Tag Aggregation Data","Tag-data"
"Tag Name","Navn"
"Tagged Products List","Liste over taggede produkter"
"Tags","Tags"
"Tags List (All Available)","Tagliste (alle mulige)"
"Tags List Before","Tagliste før"
"Tags:","Tags:"
"Telephone","Telefonnummer"
"The tag has been deleted.","Tagget er slettet."
"There are no tags available.","Der er ingen tilgængelige tags."
"Unable to find any products tagged with '%s' in the current store","Kunne ikke finde nogen produkter tagget med '%s' i denne butik"
"Unable to remove tag. Please, try again later.","Kunne ikke fjerne tag. Prøv venligst igen senere."
"Unable to save tag(s).","Kunne ikke gemme tag(s)"
"Update","Opdater"
"Update product tag","Opdater produkttag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Brug mellemrum til at adskille tags. Brug apostroffer (') til flere ord i ét tag."
"View All Tags","Vis alle tags"
"View Customers","Vis kunder"
"View Products","Vis produkter"
"XML","XML"
"You have not tagged any products yet.","Du har ikke tildelt tags til nogen produkter"
"ZIP/Post Code","Postnummer"
"[STORE VIEW]","[FORRETNINGSVISNING]"
